screen_id,file,route_or_entry,role,surface_candidate,workflow,stage,purpose,primary_action,next_destination,exception_path,data_source,notes
AdvancePaymentRetentionScreen,src/components/AdvancePaymentRetentionScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),508 lines
AlertsExceptionsDashboard,src/components/AlertsExceptionsDashboard.tsx,admin,admin,WORK,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,984 lines
ApiIntegrationManagementScreen,src/components/ApiIntegrationManagementScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),354 lines
AppVersionChangelogFeedbackScreen,src/components/AppVersionChangelogFeedbackScreen.tsx,shared,shared,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,Firestore,616 lines
ApplicantDataCollectionScreen,src/components/ApplicantDataCollectionScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),788 lines
ApplicantScreeningScreen,src/components/ApplicantScreeningScreen.tsx,shared,shared,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),652 lines
AuditLogAutomatedActionsScreen,src/components/AuditLogAutomatedActionsScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),270 lines
AutoNegotiationBotConfig,src/components/AutoNegotiationBotConfig.tsx,admin,admin,CUSTOMERS,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,696 lines
AutoPoTriggerRules,src/components/AutoPoTriggerRules.tsx,admin|app-level,admin|app-level,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),610 lines
AutoReconciliationScreen,src/components/AutoReconciliationScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),501 lines
AutomatedPayoutDisbursementScreen,src/components/AutomatedPayoutDisbursementScreen.tsx,shared,shared,FINANCE,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),553 lines
AutomatedSequenceBuilder,src/components/AutomatedSequenceBuilder.tsx,admin,admin,UNCLASSIFIED,TBD-phase3,TBD-phase3,,,,,localStorage,1147 lines
AutomationHealthMonitor,src/components/AutomationHealthMonitor.tsx,admin,admin,CONTROL,TBD-phase3,TBD-phase3,,,,,props-only/none-detected,906 lines
AutomationTestingSandboxScreen,src/components/AutomationTestingSandboxScreen.tsx,shared,shared,CONTROL,TBD-phase3,TBD-phase3,,,,,DbManager(fake/local),448 lines
